1,0.95,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.25,0.2,0.15,0.1,0.075,0.05,0.025,0.0125,0,0.0125,0.025,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,1
0.00063,0.00403,0.00724,0.01312,0.01832,0.02282,0.02647,0.02902,0.03001,0.02971,0.02869,0.02673,0.02341,0.021,0.01777,0.01307,0.00947,0,-0.00947,-0.01307,-0.01777,-0.021,-0.02341,-0.02673,-0.02869,-0.02971,-0.03001,-0.02902,-0.02647,-0.02282,-0.01832,-0.01312,-0.00724,-0.00403,-0.00063
1,0.95,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.25,0.2,0.15,0.1,0.075,0.05,0.025,0.0125,0,0.0125,0.025,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,1
0.00084,0.00537,0.00965,0.01749,0.02443,0.03043,0.03529,0.03869,0.04001,0.03961,0.03825,0.03564,0.03121,0.028,0.02369,0.01743,0.01263,0,-0.01263,-0.01743,-0.02369,-0.028,-0.03121,-0.03564,-0.03825,-0.03961,-0.04001,-0.03869,-0.03529,-0.03043,-0.02443,-0.01749,-0.00965,-0.00537,-0.00084
1,0.95,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.25,0.2,0.15,0.1,0.075,0.05,0.025,0.0125,0,0.0125,0.025,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,1
0.00105,0.00672,0.01207,0.02187,0.03053,0.03803,0.04412,0.04837,0.05002,0.04952,0.04782,0.04455,0.03902,0.035,0.02962,0.02178,0.01578,0,-0.01578,-0.02178,-0.02962,-0.035,-0.03902,-0.04455,-0.04782,-0.04952,-0.05002,-0.04837,-0.04412,-0.03803,-0.03053,-0.02187,-0.01207,-0.00672,-0.00105
1.0000,0.9500,0.8000,0.7500,0.6500,0.5000,0.4490,0.3990,0.2990,0.2250,0.2000,0.1500,0.1250,0.1000,0.0500,0.0300,0.0050,0.0050,0.0200,0.0400,0.0800,0.1000,0.1250,0.1750,0.2000,0.2500,0.2750,0.2990,0.3990,0.5000,0.5500,0.6000,0.6500,0.7500,0.9000
0.0013,0.0081,0.0262,0.0316,0.0413,0.0529,0.0559,0.0581,0.0600,0.0610,0.0609,0.0592,0.0574,0.0545,0.0435,0.0352,0.0144,-0.0144,-0.0293,-0.0398,-0.0512,-0.0545,-0.0574,-0.0603,-0.0609,-0.0608,-0.0605,-0.0600,-0.0581,-0.0529,-0.0495,-0.0456,-0.0413,-0.0316,-0.0145
1,0.95,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.25,0.2,0.15,0.1,0.075,0.05,0.025,0.0125,0,0.0125,0.025,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,1
0.00158,0.01008,0.0181,0.03279,0.0458,0.05704,0.06617,0.07254,0.07502,0.07427,0.07172,0.06682,0.05853,0.0525,0.04443,0.03268,0.02367,0,-0.02367,-0.03268,-0.04443,-0.0525,-0.05853,-0.06682,-0.07172,-0.07427,-0.07502,-0.07254,-0.06617,-0.05704,-0.0458,-0.03279,-0.0181,-0.01008,-0.00158
